Writing Image
Write-Pointer 2105664
Write-Pointer 2105696
Write-Pointer 2105728
Write-Pointer 2105760
Write-Pointer 2105792
Write-Pointer 2105824
Write-Pointer 2105856
Write-Pointer 2105888
Write-Pointer 2105920
Write-Pointer 2105952
Write-Pointer 2105984
Write-Pointer 2106016
Write-Pointer 2106048
Write-Pointer 2106080
Write-Pointer 2106112
Write-Pointer 2106144
Write-Pointer 2106176
Write-Pointer 2106208
Write-Pointer 2106240
Write-Pointer 2106272
Write-Pointer 2106304
Write-Pointer 2106336
Write-Pointer 2106368
Write-Pointer 2106400
Write-Pointer 2106432
Write-Pointer 2106464
Write-Pointer 2106496
Write-Pointer 2106528
Write-Pointer 2106560
Write-Pointer 2106592
Write-Pointer 2106624
Write-Pointer 2106656
Write-Pointer 2106688
Write-Pointer 2106720
Write-Pointer 2106752
Write-Pointer 2106784
Write-Pointer 2106816
Write-Pointer 2106848
Write-Pointer 2106880
Write-Pointer 2106912
Write-Pointer 2106944
Write-Pointer 2106976
Write-Pointer 2107008
Write-Pointer 2107040
Write-Pointer 2107072
Write-Pointer 2107104
Write-Pointer 2107136
Write-Pointer 2107168
Write-Pointer 2107200
Write-Pointer 2107232
Write-Pointer 2107264
Write-Pointer 2107296
Write-Pointer 2107328
Write-Pointer 2107360
Write-Pointer 2107392
Write-Pointer 2107424
Write-Pointer 2107456
Write-Pointer 2107488
Write-Pointer 2107520
Write-Pointer 2107552
Write-Pointer 2107584
Write-Pointer 2107616
Write-Pointer 2107648
Write-Pointer 2107680
Write-Pointer 2107712
Write-Pointer 2107744
Write-Pointer 2107776
Write-Pointer 2107808
Write-Pointer 2107840
Write-Pointer 2107872
Write-Pointer 2107904
Write-Pointer 2107936
Write-Pointer 2107968
Write-Pointer 2108000
Write-Pointer 2108032
Write-Pointer 2108064
Write-Pointer 2108096
Write-Pointer 2108128
Write-Pointer 2108160
Write-Pointer 2108192
Write-Pointer 2108224
Write-Pointer 2108256
Write-Pointer 2108288
Write-Pointer 2108320
Write-Pointer 2108352
Write-Pointer 2108384
Write-Pointer 2108416
Write-Pointer 2108448
Write-Pointer 2108480
Write-Pointer 2108512
Write-Pointer 2108544
Write-Pointer 2108576
Write-Pointer 2108608
Write-Pointer 2108640
Write-Pointer 2108672
Write-Pointer 2108704
Write-Pointer 2108736
Write-Pointer 2108768
Write-Pointer 2108800
Write-Pointer 2108832
Write-Pointer 2108864
Write-Pointer 2108896
Write-Pointer 2108928
Write-Pointer 2108960
Write-Pointer 2108992
Write-Pointer 2109024
Write-Pointer 2109056
Write-Pointer 2109088
Write-Pointer 2109120
Write-Pointer 2109152
Write-Pointer 2109184
Write-Pointer 2109216
Write-Pointer 2109248
Write-Pointer 2109280
Write-Pointer 2109312
Write-Pointer 2109344
Write-Pointer 2109376
Write-Pointer 2109408
Write-Pointer 2109440
Write-Pointer 2109472
Write-Pointer 2109504
Write-Pointer 2109536
Write-Pointer 2109568
Write-Pointer 2109600
Write-Pointer 2109632
Write-Pointer 2109664
Write-Pointer 2109696
Write-Pointer 2109728
Write-Pointer 2109760
Write-Pointer 2109792
Write-Pointer 2109824
Write-Pointer 2109856
Write-Pointer 2109888
Write-Pointer 2109920
Write-Pointer 2109952
Write-Pointer 2109984
Write-Pointer 2110016
Write-Pointer 2110048
Write-Pointer 2110080
Write-Pointer 2110112
Write-Pointer 2110144
Write-Pointer 2110176
Write-Pointer 2110208
Write-Pointer 2110240
Write-Pointer 2110272
Write-Pointer 2110304
Write-Pointer 2110336
Write-Pointer 2110368
Write-Pointer 2110400
Write-Pointer 2110432
Write-Pointer 2110464
Write-Pointer 2110496
Write-Pointer 2110528
Write-Pointer 2110560
Write-Pointer 2110592
Write-Pointer 2110624
Write-Pointer 2110656
Write-Pointer 2110688
Write-Pointer 2110720
Write-Pointer 2110752
Write-Pointer 2110784
Write-Pointer 2110816
Write-Pointer 2110848
Write-Pointer 2110880
Write-Pointer 2110912
Write-Pointer 2110944
Write-Pointer 2110976
Write-Pointer 2111008
Write-Pointer 2111040
Write-Pointer 2111072
Write-Pointer 2111104
Write-Pointer 2111136
Write-Pointer 2111168
Write-Pointer 2111200
Write-Pointer 2111232
Write-Pointer 2111264
Write-Pointer 2111296
Write-Pointer 2111328
Write-Pointer 2111360
Write-Pointer 2111392
Write-Pointer 2111424
Write-Pointer 2111456
Write-Pointer 2111488
Write-Pointer 2111520
Write-Pointer 2111552
Write-Pointer 2111584
Write-Pointer 2111616
Write-Pointer 2111648
Write-Pointer 2111680
Write-Pointer 2111712
Write-Pointer 2111744
Write-Pointer 2111776
Write-Pointer 2111808
Write-Pointer 2111840
Write-Pointer 2111872
Write-Pointer 2111904
Write-Pointer 2111936
Write-Pointer 2111968
Write-Pointer 2112000
Write-Pointer 2112032
Write-Pointer 2112064
Write-Pointer 2112096
Write-Pointer 2112128
